binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus goniantha,goniantha,NA,mallee,NA,20,60,12,10,3500,30,120,16,15,3500,25,90,14,12.5,"Adult leaves acuminate; lamina 6-12 cm long, 2-3 cm wide, dark green. Peduncle 10-15 mm long; pedicels absent or up to 4 mm long, thick. Buds conical; operculum conical, smooth or striate, 7-10 mm long, 5-12 mm wide; hypanthium ribbed, 5-10 mm long, 6-13 mm wide. Fruits hemispherical or subpyriform, 10-15 mm long, 12-16 mm wide. Jerdacuttup. Mallee. Fig. 75G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus goniantha,semiglobosa,NA,mallee,NA,20,80,11,7,3500,40,120,15,12,3500,30,100,13,9.5,"Adult leaves uncinate; lamina 8-12 cm long, 2-4 cm wide, dark green. Peduncle 15-25 mm long; pedicels thick, 5-8 mm long. Buds ovoid; operculum hemispherical, wrinkled, 5-6 mm long, 7-8 mm wide; hypanthium striate, approx 5 mm long, 7-8 mm wide. Fruits hemispherical to subglobular, 7-12 mm long, 11-15 mm wide. Fig. 75 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus falcata,NA,NA,tree,NA,15,80,7,5,9000,20,95,10,8,9000,17.5,87.5,8.5,6.5,"Tree to 9 m or mallee to 3.5 m. Bark smooth throughout, grey or grey-brown. Juvenile leaves broadly lanceolate, grey-green. Adult leaves lanceolate, sometimes falcate, uncinate; lamina 8-9.5 cm long, 1.5-2 cm wide, grey-green; lateral veins faint, at 35°–40°; intramarginal vein up to 1 mm from margin; petiole quadrangular, 15-20 mm long. Umbels 7-15-flowered peduncle ±quadrangular, 6-12 mm long; pedicels quadrangular, 6-8 mm long. Buds conical; operculum conical, smooth or striate, 8-10 mm long, 4-5 mm wide; hypanthium hemispherical, usually ribbed, rarely smooth, 4-6 mm long, 5-6 mm wide. Fruits hemispherical or subglobular, ribbed or smooth, 5-8 mm long, 7-10 mm wide; disc narrow to moderately broad, ascending, collar-like; valves 3-5. Silver. Mallet. Fig. 75K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ornata,NA,NA,tree,NA,10,50,9,6,10000,22,150,13,11,10000,16,100,11,8.5,"Tree to 10 m. Bark smooth throughout, grey to white. Juvenile leaves ovate or elliptic, dull, grey-green. Adult leaves lanceolate to broadly lanceolate, falcate, acuminate; lamina 5-15 cm long, 1-2.2 cm wide, shining, green; lateral veins faint, at 25°–35°; intramarginal vein up to 1 mm from long margin; petiole ±quadrangular, 10-20 mm long. Umbels 7-11-flowered; peduncle flattened, recurved, 12-17 mm long; pedicels angular, 7-15 mm long. Buds ovoid-rostrate, prominently 7-9-ribbed; operculum conical, rostrate, 10-14 mm long, 8-10 mm wide; hypanthium hemispherical, 5-6 mm long, 9-10 mm wide. Fruits turbinate, 7-9-ribbed, 6-11 mm long, 9-13 mm wide; disc broad, ascending, collar-like; valves 3 or 4. Fig. 75M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus decipiens,NA,NA,tree,NA,15,60,5,4,9000,30,100,6,6,9000,22.5,80,5.5,5,"Tree to 9 m, spreading, twisted, gnarled, or mallee to 4.5 m. Bark fibrous throughout or smooth in eastern forms, grey. Juvenile leaves orbicular or obcordate, grey. Adult leaves lanceolate to broadly lanceolate, uncinate; lamina 6-10 cm long, 1.5-3 cm wide, grey-green; lateral veins faint, at 40°–50°; intramarginal vein up to 2 mm from margin; petiole ±flattened, 7-15 mm long. Umbels 7-15-flowered; peduncle terete, 5-10 mm long; pedicels absent. Buds fusiform; operculum conical, 5-8 mm long, 3-5 mm wide; hypanthium obconical, 4-5 mm long, 3-5 mm wide. Fruits hemispherical or subglobular, 4-6 mm long, 5-6 mm wide; disc broad, level or obliquely descending; valves 3-5. Redheart. Fig. 75 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus micranthera,NA,NA,mallee,NA,10,80,NA,8,3500,20,110,NA,10,3500,15,95,NA,9,"Mallee to 3.5 m. Bark smooth throughout, grey to light brown. Juvenile leaves elliptical to lanceolate, grey-green. Adult leaves lanceolate, uncinate; lamina 8-11 cm long, 1-2 cm wide, pale green, glandular; lateral veins faint, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole flattened or quadrangular, 10-20 mm long. Umbels 7-11-flowered; peduncle terete, sometimes flattened, 5-10 mm long; pedicels absent or to 2 mm long. Buds ±ovoid; operculum conical or hemispherical, 4-5 mm long, 4-6 mm wide; hypanthium cylindrical, 4-5 mm long, 4-6 mm wide. Fruits hemispherical or subglobular, 1-ribbed, 8-10 mm long and wide; disc narrow, descending; valves 3 or 4. Fig. 76A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus angustissima,NA,NA,mallee,NA,2,50,5,3,3000,4,75,8,6,3000,3,62.5,6.5,4.5,"Mallee to 3 m. Bark smooth throughout, grey-brown. Juvenile leaves not seen. Adult leaves linear, uncinate; lamina 5-7.5 cm long, 0.2-0.4 cm wide, green; lateral veins and intramarginal vein inconspicuous; petiole absent or to 2 mm long. Umbels 3-7-flowered; peduncle slightly flattened, 3-4 mm long; pedicels absent or to 2 mm long. Buds ovoid; operculum conical, 3-4 mm long and wide; hypanthium hemispherical, 2-3 mm long, 4-5 mm wide. Fruits hemispherical, 3-6 mm long, 5-8 mm wide; disc broad, convex; valves 3. Narrow-leaved. Mallee. Fig. 76C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus halophila,NA,NA,mallee,NA,6,50,7,5,2000,9,70,8,8,2000,7.5,60,7.5,6.5,"Mallee to 2 m. Bark smooth throughout or with persistent loose strips, pale grey or brown. Juvenile leaves linear to narrowly obovate, green. Adult leaves elliptic to lanceolate, slightly falcate, uncinate; lamina 5-7 cm long, 0.6-0.9 cm wide, green; lateral veins faint, at 15°–20°; intramarginal vein up to 2 mm from margin, giving impression of being 3-veined; petiole terete or flattened, 5-7 mm long. Umbels 3-7-flowered; peduncle terete or quadrangular, 5-10 mm long; pedicels slender, 2-5 mm long. Buds clavate; operculum conical or hemispherical, 2-3 mm long, 3-4 mm wide; hypanthium obconical or urceolate, 4-6 mm long and wide. Fruits ovoid, 5-8 mm long, 7-8 mm wide; disc broad, descending; valves 4. Fig. 76E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cneorifolia,NA,NA,mallee,NA,3,50,5,5,5000,10,100,8,6,5000,6.5,75,6.5,5.5,"Mallee to 5 m, or tree to 9 m. Bark fibrous, grey-brown to grey to 1-3 m, smooth and white-grey or yellow-grey above. Juvenile leaves narrowly lanceolate, uncinate, green. Adult leaves linear to narrowly lanceolate, uncinate; lamina 5-10 cm long, 0.3-1 cm wide, dull, grey-green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole flattened, 2-10 mm long. Umbels 7-11-flowered; peduncle terete, 2-8 mm long; pedicels absent or to 2 mm long. Buds ovoid to fusiform; operculum conical, 4-6 mm long, 3-5 mm wide; hypanthium hemispherical, 2-4 mm long, 3-5 mm wide. Fruits hemispherical, 5-6 mm long, 5-8 mm wide; disc broad, level or obliquely descending; valves 3 or 4. Kangaroo. Island. Narrow-leaved. Mallee. Fig. 76G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus squamosa,NA,NA,tree,NA,10,75,6,5,12000,15,120,8,6,12000,12.5,97.5,7,5.5,"Tree to 12 m. Bark flaky, tessellated throughout, grey to red-brown. Juvenile leaves opposite becoming alternate, broadly lanceolate to ovate, concolorous, petiolate. Adult leaves lanceolate, grey-green; lamina 7.5-12 cm long, 1-1.5 cm wide; lateral veins just visible, at 45°–55°; intramarginal vein confluent with margin; petiole terete, 11-17 mm long. Umbels 7-13-flowered; peduncle 7-10 mm long; pedicels 2-3 mm long. Operculum often uncinate, 3-5 mm long and wide; hypanthium 3-4 mm long, 3-5 mm wide. Fruits 5-6 mm long, 6-8 mm wide; disc broad, level; valves usually 3. Scaly. Bark. Fig. 76 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pachycalyx,NA,NA,tree,NA,13,100,7,5,10000,20,150,8,6,10000,16.5,125,7.5,5.5,"Tree to 10 m, often crooked. Bark smooth, shining throughout, white or mottled pink-grey. Juvenile leaves not seen. Adult leaves narrowly lanceolate or lanceolate, thick; lamina 10-15 cm long, 1.3-2 cm wide; lateral veins faint, at 35°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 13-20 mm long. Umbels 7-11-flowered; peduncle 6-15 mm long; pedicels 2-5 mm long. Operculum 5-7 mm long, 4-5 mm wide; hypanthium 3-4 mm long, 4-5 mm wide. Fruits 5-6 mm long, 7-8 mm wide; disc narrow to moderately broad; valves 3 or 4. Shiny-barked. Gum. Fig. 76K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus jutsonii,NA,NA,mallee,NA,3,90,6,4,8000,6,120,7,5,8000,4.5,105,6.5,4.5,"Mallee to 8 m high. Bark fibrous to 3 m, smooth and grey above. Juvenile leaves sessile or almost so, linear. Adult leaves linear; lamina 9-12 cm long, 0.3-0.6 cm wide, bright green; lateral veins obscure, at approx 30°; intramarginal vein not usually visible; petiole terete, 2-5 mm long. Umbels 7-flowered; peduncle flattened, 3-5 mm long; pedicels absent or to 2 mm long. Buds ovoid; operculum 3-5 mm long, 4-5 mm wide; hypanthium 3-5 mm long and wide. Fruits 4-5 mm long, 6-7 mm wide; disc level or obliquely descending. Jutson’s Mallee. Fig. 76M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus mannensis,NA,NA,mallee,NA,10,65,NA,5,10000,20,140,NA,8,10000,15,102.5,NA,6.5,"Mallee to 10 m high. Bark fibrous, grey on stems and sometimes on lower branches, then smooth, grey-white, above. Juvenile leaves petiolate, narrowly lanceolate to lanceolate. Adult leaves narrowly lanceolate; lamina 6.5-14 cm long, 1-2 cm wide, yellow-green to green, shining; lateral veins just visible, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 8-15 mm long. Umbels usually 7-flowered; peduncle terete, 3-6 mm long; pedicels 1-3 mm long. Buds ovoid; operculum 3-4 mm long, 3-6 mm wide; hypanthium 3-4 mm long, 3-6 mm wide. Fruits 5-8 mm long and wide; disc level or ascending. Fig. 76 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus bakeri,NA,NA,mallee,NA,7,75,4,3,6000,10,90,5,4,6000,8.5,82.5,4.5,3.5,"Mallee to 6 m or tree to 12 m. Bark fibrous, grey-brown on trunk, and smooth, white, yellow or blue-green above. Juvenile leaves petiolate, linear or narrowly lanceolate. Adult leaves narrowly lanceolate; lamina 7.5-9 cm long, 0.7-1 cm wide, green or yellow-green; lateral veins faint, at 35°–45°; intramarginal vein almost confluent with margin; petiole terete, 2-10 mm long. Umbels 7-13-flowered; peduncle terete, 5-15 mm long; pedicels 1-3 mm long. Buds cylindrical or narrowly ovoid; operculum 4-6 mm long, 2-3 mm wide; hypanthium 2-3 mm long and wide. Fruits 3-4 mm long, 4-5 mm wide; disc level or slightly ascending. Baker’s Mallee. Fig. 76Q–R","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus brockwayi,NA,NA,tree,NA,7,80,4,5,25000,15,125,6,6,25000,11,102.5,5,5.5,"Tree to 25 m. Adult leaves narrowly lanceolate; lamina 8-12.5 cm long, 0.7-1.5 cm wide; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole 15-20 mm long. Peduncles angular, 4-12 mm long; pedicels 1-2 mm long. Operculum 3-4 mm long, approx 3 mm wide; hypanthium 4-6 mm long, 3-4 mm wide. Fruits 5-6 mm long, 4-6 mm wide. Dundas. Mahogany. Fig. 76S–T","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cladocalyx,NA,NA,tree,NA,20,110,6,9,35000,25,150,10,16,35000,22.5,130,8,12.5,"Tree to 35 m. Adult leaves lanceolate; lamina 11-15 cm long, 2-2.5 cm wide; lateral veins clearly visible, at 40°–50°; intramarginal vein 1-2 mm from margin; petiole quadrangular, 12-21 mm long. Peduncle terete, 10-17 mm long; pedicels 2-7 mm long. Operculum 3-4 mm long, approx 5 mm wide; hypanthium 7-8 mm long, 4-5 mm wide. Fruits 9-16 mm long, 6-10 mm wide. Sugar. Gum. Fig. 76U–V","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus longicornis,NA,NA,tree,NA,5,70,NA,6,30000,12,120,NA,8,30000,8.5,95,NA,7,"Tree to 30 m. Bark rough, flaky or fibrous, grey on trunk and lower branches, smooth, red-grey or grey-brown above. Juvenile leaves apparently in 3s or spirally arranged, sessile, elliptic, grey-green, decurrent. Adult leaves narrowly lanceolate, uncinate or acuminate; lamina 7-12 cm long, 0.5-1.2 cm wide, deep green, shining, glandular; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete or slightly flattened, 8-12 mm long. Umbels 7-13-flowered; peduncle terete, 8-12 mm long; pedicels 4-6 mm long. Buds conical; operculum conical, 5-8 mm long, 4-5 mm wide; hypanthium cylindrical or hemispherical, 3-5 mm long, 4-5 mm wide. Fruits subglobular, 6-8 mm long and wide; valves 3. Red. Morrel. Fig. 77A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus oleosa,NA,NA,mallee,NA,8,70,NA,4,12000,15,100,NA,6,12000,11.5,85,NA,5,"Usually a mallee, sometimes a tree, to 12 m. Bark rough, fibrous or flaky on lower trunk, smooth, grey or grey-brown above. Juvenile leaves spirally arranged or in 3s, sessile, narrowly elliptic, green, decurrent. Adult leaves narrowly lanceolate, uncinate; lamina 7-10 cm long, 0.8-1.5 cm wide, shining, green, glandular; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 8-18 mm long. Umbels usually 7-11-flowered, sometimes more; peduncle slightly flattened, 7-12 mm long; pedicels 1-5 mm long. Buds ovoid or cylindrical; operculum conical-cylindrical, obtuse, 3-4 mm long and wide; hypanthium cylindrical or hemispherical, 2-3 mm long, 3-4 mm wide. Fruits subglobular, 4-6 mm long and wide; valves 3. Giant. Mallee, Red. Mallee. Fig.77C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus kochii,NA,NA,mallee,NA,5,65,5,6,5000,12,100,6,7,5000,8.5,82.5,5.5,6.5,"Mallee to 5 m or tree to 12 m. Bark rough, fibrous, twisted or latticed, dark grey on lower trunk, smooth, red-brown or grey-brown above. Juvenile leaves alternate, shortly petiolate, linear to narrowly lanceolate, glaucous. Adult leaves almost linear to narrowly lanceolate, uncinate; lamina 6.5-10 cm long, 0.5-1.2 cm wide, dull to slightly shining, green, usually glandular; lateral veins faint, at 40°–45°; intramarginal vein up to 1 mm from margin; petiole terete, 6-12 mm long. Umbels 7-11-flowered; peduncle terete, 6-8 mm long; pedicels 2-3 mm long. Buds cylindrical to fusiform; operculum conical, 4-5 mm long, approx 3 mm wide; hypanthium obconical or cylindrical, 4-5 mm long, approx 3 mm wide. Fruits subovoid or suburceolate, 6-7 mm long, 5-6 mm wide; valves 3 or 4. Fig. 77E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus plenissima,NA,NA,mallee,NA,6,80,5,5,12000,10,120,7,10,12000,8,100,6,7.5,"Mallee, or occasionally a tree, to 12 m. Bark rough, flaky, dark grey on lower trunks, smooth, grey-brown above, deciduous in ribbons. Juvenile leaves alternate, sessile, lanceolate to broadly lanceolate, grey-green, glandular. Adult leaves linear to narrowly lanceolate, uncinate; lamina 8-12 cm long, 0.6-1 cm wide, dull to slightly shining, green, glandular; lateral veins faint, at 35°–45°; intramarginal vein faint, almost confluent with margin; petiole terete, 8-12 mm long. Umbels 7-11-flowered; peduncle terete, 5-8 mm long; pedicels 1-3 mm long. Buds clavate; operculum hemispherical, 2-3 mm long, 3-5 mm wide; hypanthium obconical, 4-6 mm long, 3-4 mm wide. Fruits subovoid, sometimes cylindrical, 5-10 mm long, 5-7 mm wide; valves 3. Oil. Mallee. Fig. 77G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus horistes,NA,NA,mallee,NA,6,60,5,5,12000,20,95,7,8,12000,13,77.5,6,6.5,"Mallee or tree to 12 m. Bark rough, fibrous, fissured, grey on lower trunk, smooth, grey-brown above. Juvenile leaves opposite, becoming alternate, sessile, lanceolate or elliptic, grey-green, decurrent. Adult leaves narrowly lanceolate, uncinate; lamina 6-9.5 cm long, 0.6-2 cm wide, grey-green, glandular; lateral veins faint, at 40°–50°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole terete, 8-15 mm long. Umbels 7-11-flowered, sometimes more; peduncle terete, 5-12 mm long; pedicels 3-6 mm long. Buds fusiform; operculum conical or rostrate, 5-10 mm long, approx 4 mm wide; hypanthium obconical, 4-6 mm long, approx 4 mm wide. Fruits urceolate or subglobular, 5-8 mm long, 5-7 mm wide; valves 3. Fig. 77 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus peeneri,NA,NA,mallee,NA,8,50,6,7,3000,10,70,7,8,3000,9,60,6.5,7.5,"Mallee to 3 m. Bark rough, grey at least on stems. Juvenile leaves not seen. Adult leaves elliptic to lanceolate, uncinate; lamina 5-7 cm long, 0.8-1 cm wide, dull, grey-green, glandular; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 10-12 mm long. Umbels 7-11-flowered; peduncle terete, 7-9 mm long; pedicels 1-3 mm long. Buds conical, obtuse; operculum conical, 5-6 mm long, 3-4 mm wide; hypanthium hemispherical to subglobular, 3-4 mm long and wide. Fruits subglobular, 7-8 mm long, 6-7 mm wide; valves usually 3, sometimes 4. Peeneri, Water. Mallee. Fig. 77K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
